290,10,40,74,23,46,73,27,77,104,41,0,7,4,0,2,7,0,0,7,1,0,0,0,0,0,0,0
7,1174,90,132,89,100,26,135,23,0,0,0,41,62,14,34,14,7,2,0,0,0,0,0,0,0,0,0
55,95,1333,82,91,84,78,110,116,17,0,0,14,24,3,37,68,7,7,11,0,0,0,0,0,0,0,0
28,160,85,2387,74,10,2,57,11,0,0,0,106,82,52,39,6,46,4,0,0,0,0,20,16,1,0,0
78,49,68,81,1520,74,11,58,47,13,0,0,40,60,11,43,54,43,69,6,0,9,0,5,12,26,0,2
73,13,82,28,101,2208,100,122,154,107,17,0,78,29,2,12,61,2,4,80,14,8,0,0,0,0,0,0
19,25,15,77,35,38,1495,74,78,128,111,43,34,119,10,17,10,2,0,38,148,2,45,0,0,0,0,0
9,73,106,25,75,100,149,2504,77,47,18,0,10,48,18,43,87,11,47,49,9,140,0,4,5,14,0,32
37,8,95,88,57,189,126,97,2940,78,39,26,78,37,89,34,64,30,7,63,43,39,14,24,5,4,0,7
26,0,2,0,39,46,136,49,72,2809,125,88,0,87,62,32,53,140,46,72,131,11,149,5,52,9,0,4
2,0,0,0,0,1,39,19,36,59,3021,223,0,0,0,30,49,46,151,46,137,111,267,0,5,113,0,18
0,0,0,0,0,0,28,0,156,147,95,2004,0,0,0,0,230,0,112,106,39,192,58,0,0,9,0,74
50,5,90,46,49,48,1,7,1,0,0,0,1476,55,127,24,7,77,6,0,0,0,0,77,91,5,53,0
12,75,6,80,33,77,61,47,6,1,0,0,59,1652,86,25,25,88,49,7,0,8,0,13,57,136,29,7
0,17,8,76,5,4,38,76,122,3,0,0,109,40,2340,51,13,63,21,1,0,7,0,116,101,48,43,5
20,169,36,27,45,4,62,20,44,8,1,0,7,27,20,632,28,40,45,13,8,34,0,14,5,36,7,125
28,15,176,5,59,88,16,175,77,180,46,12,36,41,33,53,3071,59,109,89,40,118,33,105,67,16,20,61
0,15,6,144,46,6,3,4,49,162,9,0,40,117,80,18,78,2245,74,20,3,29,0,53,111,92,7,37
0,4,7,4,48,4,10,37,3,39,209,19,1,26,25,60,29,64,2044,71,39,130,7,22,38,141,56,76
19,0,5,0,2,74,47,35,104,39,85,32,0,25,47,15,37,25,21,1135,54,59,17,44,80,46,69,4
11,0,0,0,0,5,77,2,45,156,85,189,0,0,0,13,25,43,24,32,1585,19,134,0,44,84,5,45
0,0,9,0,4,23,14,73,80,8,44,213,0,2,34,23,145,35,62,40,68,2052,30,68,32,29,72,88
0,0,0,0,0,0,4,0,3,79,337,230,0,0,0,0,24,0,50,35,61,46,2345,0,0,55,0,76
0,0,0,2,2,0,0,1,35,16,0,0,40,4,28,45,297,115,36,11,0,3,0,1501,87,28,92,6
0,0,0,5,2,0,0,2,1,12,6,0,95,69,144,2,23,24,49,96,5,21,0,72,1607,88,119,10
0,0,0,3,7,0,0,3,5,3,39,24,5,79,43,45,4,159,29,21,165,61,13,40,97,2272,43,125
0,0,0,0,0,0,0,0,0,0,0,0,4,2,118,1,1,6,28,14,6,191,0,181,33,75,1525,30
0,0,0,0,3,0,0,13,8,14,17,135,0,3,1,34,92,23,119,6,26,41,203,17,20,64,21,1299
307,10,40,67,22,49,72,27,75,106,42,0,6,4,0,2,6,0,0,7,1,0,0,0,0,0,0,0
8,1193,88,121,87,102,25,134,22,0,0,0,38,55,11,34,13,7,2,0,0,0,0,0,0,0,0,0
