273,22,65,136,27,59,62,20,65,70,71,0,7,6,0,4,9,0,0,4,6,0,0,0,0,0,0,0
23,1165,49,64,68,64,14,223,87,0,0,0,9,60,11,53,116,7,6,0,0,0,0,0,0,0,0,0
51,136,1457,125,78,67,42,78,106,25,0,0,16,15,4,31,40,8,4,26,0,16,0,0,0,0,0,0
123,77,127,2352,57,68,15,45,9,0,0,0,64,60,66,49,21,58,40,0,0,0,0,25,10,7,0,0
47,62,38,95,1534,99,40,63,40,7,0,0,62,63,16,36,62,71,45,13,0,33,0,9,32,11,0,6
37,40,98,57,142,2221,86,130,108,111,26,0,115,39,6,16,70,6,10,38,28,5,0,0,0,0,0,0
18,9,20,10,38,54,1514,95,95,106,157,86,5,155,14,21,20,6,6,63,75,12,84,0,0,0,0,0
4,98,82,101,93,58,130,2509,88,49,8,0,42,99,38,52,66,24,69,48,18,55,0,10,15,41,0,12
44,18,69,44,82,132,84,100,2893,116,90,22,19,61,153,50,76,42,18,54,64,67,38,39,13,15,0,27
48,0,7,0,23,53,170,73,90,2833,163,214,0,26,8,35,59,143,34,64,85,21,114,6,54,15,0,14
9,0,0,0,0,10,75,42,103,99,2901,276,0,0,0,41,91,21,192,52,116,69,191,0,9,131,0,29
0,0,0,0,0,0,29,0,134,144,92,2129,0,0,0,0,198,0,42,90,40,187,109,0,0,10,0,103
82,6,57,32,61,123,9,42,12,0,0,0,1499,44,61,19,9,68,20,0,0,0,0,71,74,65,27,0
9,96,5,66,21,42,79,55,28,7,0,0,67,1685,87,32,28,70,48,6,0,17,0,18,92,70,77,39
0,9,5,134,7,9,48,33,115,6,0,0,80,28,2354,42,43,77,32,8,0,9,0,134,99,58,66,15
6,155,50,53,40,5,26,16,36,16,5,0,58,46,59,705,37,60,34,15,5,25,0,27,16,51,17,26
26,28,169,26,74,154,12,135,51,116,54,13,48,111,95,58,2972,99,102,93,65,84,17,142,73,31,29,74
0,46,8,106,76,7,20,7,33,112,6,0,48,77,76,15,61,2303,80,30,8,38,0,86,155,102,21,38
0,10,23,9,41,12,19,77,11,47,165,9,11,35,59,48,31,65,2023,59,49,128,14,57,63,145,43,83
34,0,7,0,7,58,113,33,109,36,70,48,0,17,24,26,50,46,31,1137,73,56,66,7,72,37,56,14
6,0,0,0,0,7,65,7,46,189,55,114,0,0,0,13,54,48,59,57,1636,38,154,0,13,101,6,44
0,0,7,0,7,20,24,36,129,17,43,168,0,9,22,21,134,45,64,36,67,2183,65,29,52,43,30,102
0,0,0,0,0,0,18,0,10,73,324,118,0,0,0,0,32,0,86,52,89,83,2394,0,0,29,0,94
0,0,0,8,6,0,0,11,42,18,0,0,119,10,27,22,238,73,62,10,0,16,0,1549,85,44,80,11
0,0,0,22,7,0,0,6,17,49,17,0,60,86,65,7,29,22,47,149,8,51,0,48,1581,101,140,34
0,0,0,11,15,0,0,9,12,59,82,27,11,50,40,59,16,94,33,35,194,63,10,58,71,2259,45,133
0,0,0,0,0,0,0,0,0,0,0,0,33,11,188,5,16,15,22,17,9,145,0,125,39,53,1561,39
0,0,0,0,7,0,0,13,17,29,99,71,0,10,13,24,149,38,127,20,31,45,112,24,38,74,32,1282
285,24,65,126,27,62,60,21,66,73,73,0,6,5,0,4,9,0,0,5,6,0,0,0,0,0,0,0
24,1186,47,59,66,64,14,220,83,0,0,0,9,54,10,52,110,6,6,0,0,0,0,0,0,0,0,0
54,147,1483,120,79,70,42,80,108,26,0,0,15,13,14,32,40,8,16,26,0,16,0,0,0,0,0,0
144,91,141,2454,63,78,16,50,10,0,0,0,69,60,65,55,23,63,42,0,0,0,0,25,10,7,0,0
52,67,39,92,1570,106,40,66,41,7,0,0,61,60,14,38,63,73,46,14,0,34,0,8,29,10,0,6
38,41,95,52,137,2212,81,128,102,111,26,0,107,35,6,16,68,6,9,37,27,5,0,0,0,0,0,0
19,9,21,10,40,58,1522,99,97,112,166,93,4,146,12,22,21,6,6,66,79,13,97,0,0,0,0,0
5,102,83,96,94,61,129,2571,88,52,9,0,41,92,33,54,66,24,69,49,19,57,0,9,14,39,0,12
47,20,69,42,83,140,85,104,2920,123,95,24,20,58,137,53,78,43,18,56,68,71,45,36,12,15,0,29
48,0,7,0,22,52,162,71,87,2846,162,218,0,24,7,35,57,136,33,63,85,21,127,5,45,13,0,14
9,0,0,0,0,10,70,42,98,100,2894,279,0,0,0,42,89,21,181,51,116,68,211,0,8,113,0,29
0,0,0,0,0,0,27,0,128,144,92,2143,0,0,0,0,197,0,41,89,39,182,120,0,0,9,0,98
91,6,60,32,64,134,10,44,12,0,0,0,1507,42,55,21,9,70,20,0,0,0,0,68,67,62,26,0
10,110,5,68,23,49,87,62,31,7,0,0,71,1701,84,36,31,76,52,6,0,18,0,18,90,71,81,44
0,10,6,143,7,10,56,39,134,7,0,0,88,29,2351,49,49,87,36,9,0,10,0,138,99,61,70,17
6,151,47,46,38,5,25,15,34,15,6,0,53,40,48,684,35,56,32,15,5,24,0,24,14,45,16,25
